,url,name,price,rating,reviews
33,/sspa/click?ie=UTF8&spc=MTo4MTQ0NTI2ODE0MzE2MTE0OjE2NzU0NDQ1ODI6c3BfYnRmOjIwMDc4OTIwNzc5Mzk4OjowOjo&url=%2FScanSmart-Backpack-Designed-blend-function-612014%2Fdp%2FB09V1GJ7D6%2Fref%3Dsr_1_22_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1675444582%26sprefix%3Dba%252Caps%252C283%26sr%3D8-22-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1,NIVIA Basic Duffle Polyester Bag/Gym Bags/Adjustable Shoulder Bag for Men/Duffle Gym Bags for Men/Fitness Bag/Carry Bags/Sports & Travel Bag/Sports Kit/Duffle Bags Travel,512,4.1 out of 5 stars,(577)
34,/sspa/click?ie=UTF8&spc=MTo2OTUxMTUxMjg5MTI1NDY1OjE2NzU0NDQ1ODQ6c3BfYXRmX25leHQ6MjAxMTU4MjY5MzQ3OTg6OjA6Og&url=%2FBackpack-Capacity-Water-resistant-Multi-pocket-Business%2Fdp%2FB0B6FK9ZZG%2Fref%3Dsr_1_17_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1675444584%26sprefix%3Dba%252Caps%252C283%26sr%3D8-17-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1,Skybags Polypropylene 46 Cms Travel Bag(DFACN1BLU_Blue),499,4.0 out of 5 stars,(21)
35,/sspa/click?ie=UTF8&spc=MTo2OTUxMTUxMjg5MTI1NDY1OjE2NzU0NDQ1ODQ6c3BfYXRmX25leHQ6MjAxMDg1OTU1OTgwOTg6OjA6Og&url=%2FLavie-Sport-Chairman-Compatible-compartments%2Fdp%2FB0B45SWK51%2Fref%3Dsr_1_18_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1675444584%26sprefix%3Dba%252Caps%252C283%26sr%3D8-18-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1,"URBAN TRIBE Havana 15.6"" inch Laptop Backpack for Men and Women | 27L Office/Work/Casual Bag | Water Repellent | Black",565,4.3 out of 5 stars,(528)
36,/Step-Backpack-Small-Water-Repellant/dp/B088XH1BP7/ref=sr_1_19?crid=2M096C61O4MLT&keywords=bags&qid=1675444584&sprefix=ba%2Caps%2C283&sr=8-19,HEROZ Hammer Unisex Nylon 45 L Travel Laptop Backpack Water Resistant Slim Durable Fits Up to 17.3 Inch Laptop Notebook (All) (Navy Blue & Sky Blue),"1,099",4 Stars & Up,34
37,/Safari-Laptop-Backpack-Resistant-Fabric/dp/B09B25Z8M2/ref=sr_1_20?crid=2M096C61O4MLT&keywords=bags&qid=1675444584&sprefix=ba%2Caps%2C283&sr=8-20,Wesley Spartan Unisex Travel Hiking Laptop Bag fits Upto 17.3 inch with Raincover and Internal Organiser Backpack Rucksack College Bag,"5,600",3 Stars & Up,577
38,/Half-Moon-Waterproof-Backpack-Students/dp/B085MHDJ93/ref=sr_1_21?crid=2M096C61O4MLT&keywords=bags&qid=1675444584&sprefix=ba%2Caps%2C283&sr=8-21,Bagneeds Men's Black Synthetic Leather Briefcase Best Laptop Messenger Bag Satchel for Men,"1,139",2 Stars & Up,"7,634"
39,/Inovera-Label-Women-Handbags-Shoulder/dp/B08CMQD4BC/ref=sr_1_22?crid=2M096C61O4MLT&keywords=bags&qid=1675444584&sprefix=ba%2Caps%2C283&sr=8-22,"WILDHORN 31L Laptop Backpack for Men / Women I Fits upto 15.6"" Laptop I Waterproof I Travel / Business / College Bookbags","2,849",1 Star & Up,675
40,/AirCase-C34-Laptop-Backpack-Women/dp/B07QL8633G/ref=sr_1_23?crid=2M096C61O4MLT&keywords=bags&qid=1675444584&sprefix=ba%2Caps%2C283&sr=8-23,Wesley Milestone 15.6 inch 25 L Casual Waterproof Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Unisex Travel Backpack,"1,099",4.5 out of 5 stars,"14,913"
41,/SFANE-Duffel-Shoulder-Women-Compartment/dp/B07XXFB9CZ/ref=sr_1_24?crid=2M096C61O4MLT&keywords=bags&qid=1675444584&sprefix=ba%2Caps%2C283&sr=8-24,Northzone Casual Waterproof Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Travel Backpack (Dimensions:13x18 inches) (Compatible with 39.62cm(15.6inch laptop) 30 L,299,4.1 out of 5 stars,528
42,/Nivia-6853-Polyester-Basic-Duffle/dp/B07FWQ9HRV/ref=sr_1_25?crid=2M096C61O4MLT&keywords=bags&qid=1675444584&sprefix=ba%2Caps%2C283&sr=8-25,Half Moon Large 37L Laptop Bag Backpack for menं Women Boys and Girls Luggage Travel Bags with 17.3 inches Laptop Compartment & Rain Cover,899,4.1 out of 5 stars,"6,808"
43,/Skybags-Polypropylene-Cms-Travel-DFACN1BLU_Blue/dp/B0B6CH21F9/ref=sr_1_26?crid=2M096C61O4MLT&keywords=bags&qid=1675444584&sprefix=ba%2Caps%2C283&sr=8-26,"Wesley Unisex Milestone Casual Waterproof Laptop Office School College Business Travel Backpack 25 L (Dimensions: 12.5x18 inches) (Compatible with 15.6 inch laptops), Navy Blue",689,3.9 out of 5 stars,962
